SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,180 Bautista Ct #78,Oceanside,CA,92057,695000,3,3.0,Oceanside,1553,,1997,1,448,273,Active,,,https://www.redfin.com/CA/Oceanside/180-Bautista-Ct-92057/unit-78/home/3290153,SDMLS,230018147,N,Y,33.2262174,-117.3159667
MLS Listing,,Single Family Residential,2667 Fallsview Rd,San Marcos,CA,92078,1599900,4,3.0,San Marcos,3400,6126,2005,2,471,100,Pre On-Market,,,https://www.redfin.com/CA/San-Marcos/2667-Fallsview-Rd-92078/home/7514600,SDMLS,230018222,N,Y,33.0955106,-117.2111528
MLS Listing,,Single Family Residential,2640 Secret Lake Ln,Fallbrook,CA,92028,1199000,4,3.5,Fallbrook,3382,47916,1990,3,355,105,Active,,,https://www.redfin.com/CA/Fallbrook/2640-Secret-Lake-Ln-92028/home/3121937,SDMLS,230018167,N,Y,33.3448162,-117.1864656
MLS Listing,,Condo/Co-op,8475 Avenida Angulia #4,Spring Valley,CA,91977,439000,2,2.0,Spring Valley,862,145375,1987,3,509,380,Active,,,https://www.redfin.com/CA/Spring-Valley/8475-Avenida-Angulia-91977/unit-4/home/6039754,SDMLS,230018159,N,Y,32.6962473,-117.0148156
MLS Listing,,Single Family Residential,274 Montclair St,Chula Vista,CA,91911,749000,3,2.0,Chula Vista,1274,7100,1959,3,588,,Active,,,https://www.redfin.com/CA/Chula-Vista/274-Montclair-St-91911/home/6188538,SDMLS,230018121,N,Y,32.6213398,-117.0466986
MLS Listing,,Single Family Residential,12368 Fairway Pointe Row,San Diego,CA,92128,2099000,4,3.0,Rancho Bernardo,3687,8908,1985,4,569,270,Active,,,https://www.redfin.com/CA/San-Diego/12368-Fairway-Pointe-Row-92128/home/4256638,SDMLS,230018049,N,Y,33.005186,-117.067226
MLS Listing,,Single Family Residential,655 Gemstone Dr,San Marcos,CA,92078,1295000,5,3.0,San Marcos,2646,,2018,4,489,228,Active,,,https://www.redfin.com/CA/San-Marcos/655-Gemstone-Dr-92078/home/167227676,SDMLS,230018028,N,Y,33.1212936,-117.1674826
MLS Listing,,Single Family Residential,1354 S Maple St,Escondido,CA,92025,649900,3,2.0,South Escondido,1136,5266,1960,4,572,,Active,,,https://www.redfin.com/CA/Escondido/1354-S-Maple-St-92025/home/4017687,SDMLS,230018026,N,Y,33.1094633,-117.0743958
MLS Listing,,Single Family Residential,2054 Cottage Way,Vista,CA,92081,699000,2,2.0,Vista,999,4417,1984,4,700,124,Active,,,https://www.redfin.com/CA/Vista/2054-Cottage-Way-92081/home/3802058,SDMLS,230018017,N,Y,33.1653251,-117.2251928
MLS Listing,,Single Family Residential,5136 Francis St,Oceanside,CA,92057,739000,3,2.0,Oceanside,1210,7447,1986,4,611,,Active,,,https://www.redfin.com/CA/Oceanside/5136-Francis-St-92057/home/3110754,SDMLS,230018015,N,Y,33.2596194,-117.2916988
MLS Listing,,Townhouse,3648 7Th Ave,San Diego,CA,92103,1449000,3,2.5,San Diego,2198,,2018,4,659,387,Active,,,https://www.redfin.com/CA/San-Diego/3648-7th-Ave-92103/home/167587071,SDMLS,230018012,N,Y,32.7443049,-117.1587128
MLS Listing,,Single Family Residential,10345 Rue Chamberry,San Diego,CA,92131,2099000,5,4.0,Scripps Ranch,4089,11063,1982,5,513,152,Active,,,https://www.redfin.com/CA/San-Diego/10345-Rue-Chamberry-92131/home/4975903,SDMLS,230017947,N,Y,32.9044013,-117.0676628
MLS Listing,,Condo/Co-op,1450 Iris Ave #11,Imperial Beach,CA,91932,425000,1,1.0,Imperial Beach,610,,1969,6,697,195,Active,,,https://www.redfin.com/CA/Imperial-Beach/1450-Iris-Ave-91932/unit-11/home/17108472,SDMLS,230017864,N,Y,32.5693396,-117.102502
MLS Listing,,Condo/Co-op,3505 Cameo Dr #69,Oceanside,CA,92056,612500,2,2.0,Oceanside,1008,,1992,6,608,365,Active,,,https://www.redfin.com/CA/Oceanside/3505-Cameo-Dr-92056/unit-69/home/3380269,SDMLS,230017845,N,Y,33.19272,-117.307897
MLS Listing,,Condo/Co-op,3549 Castle Glen Dr #112,San Diego,CA,92123,399900,1,1.0,Serra Mesa,582,186777,1973,10,687,330,Active,,,https://www.redfin.com/CA/San-Diego/3549-Castle-Glen-Dr-92123/unit-112/home/6416964,SDMLS,230017675,N,Y,32.806419967,-117.1302436
MLS Listing,,Townhouse,6282 Via Trato,Carlsbad,CA,92009,815000,3,3.0,Carlsbad South,1292,,2002,10,631,265,Active,,,https://www.redfin.com/CA/Carlsbad/6282-Via-Trato-92009/home/6537299,SDMLS,230017473,N,Y,33.1201384,-117.2334661
MLS Listing,,Condo/Co-op,1965 Avenida Del Mexico #209,San Diego,CA,92154,515000,2,2.0,San Diego,885,,1987,10,582,310,Active,,,https://www.redfin.com/CA/San-Diego/1965-Avenida-del-Mexico-92154/unit-209/home/12159555,SDMLS,230017603,N,Y,32.5832034,-117.0916816
MLS Listing,,Condo/Co-op,5410 La Jolla Blvd Unit A103,La Jolla,CA,92037,1380000,2,2.0,La Jolla,1347,,2005,11,1024,607,Active,,,https://www.redfin.com/CA/La-Jolla/5410-La-Jolla-Blvd-92037/unit-A103/home/6650876,SDMLS,230016808,N,Y,32.8108077,-117.2671064
MLS Listing,,Single Family Residential,548 Lado De Loma Dr,Vista,CA,92083,749900,3,2.0,Vista,1359,8165,1980,11,552,,Active,,,https://www.redfin.com/CA/Vista/548-Lado-de-Loma-Dr-92083/home/3503606,SDMLS,230017529,N,Y,33.1930826,-117.2385608
MLS Listing,,Condo/Co-op,475 N Midway Dr #220,Escondido,CA,92027,419900,2,2.0,North Escondido,964,261543,1979,11,436,306,Active,,,https://www.redfin.com/CA/Escondido/475-N-Midway-Dr-92027/unit-220/home/3973534,SDMLS,230017489,N,Y,33.1390823,-117.0538018
MLS Listing,,Single Family Residential,2154 Coast Ave,San Marcos,CA,92078,1699900,5,4.0,San Marcos,4088,12593,2002,11,416,140,Active,,,https://www.redfin.com/CA/San-Marcos/2154-Coast-Ave-92078/home/3863615,SDMLS,230017478,N,Y,33.1225559,-117.2237935
MLS Listing,,Condo/Co-op,17147 W Bernardo Dr #108,San Diego,CA,92127,550000,2,2.0,Rancho Bernardo,944,,1994,12,583,465,Active,,,https://www.redfin.com/CA/San-Diego/17147-W-Bernardo-Dr-92127/unit-108/home/6616380,SDMLS,230017408,N,Y,33.0274532,-117.0800058
MLS Listing,,Townhouse,7056 Park Mesa Way #49,San Diego,CA,92111,725000,2,1.5,Linda Vista,1041,154800,1980,13,696,385,Active,,,https://www.redfin.com/CA/San-Diego/7056-Park-Mesa-Way-92111/unit-49/home/5207677,SDMLS,230017316,N,Y,32.7978938,-117.1683394
MLS Listing,,Condo/Co-op,2828 Famosa Blvd #207,San Diego,CA,92107,639000,2,2.0,Ocean Beach,896,,1990,17,713,389,Active,,,https://www.redfin.com/CA/San-Diego/2828-Famosa-Blvd-92107/unit-207/home/6422758,SDMLS,230014892,N,Y,32.751385,-117.2296114
MLS Listing,,Condo/Co-op,214 Woodland Pkwy #104,San Marcos,CA,92069,529950,2,2.0,San Marcos,940,,1990,17,564,357,Active,,,https://www.redfin.com/CA/San-Marcos/214-Woodland-Pkwy-92069/unit-104/home/6665316,SDMLS,230017122,N,Y,33.142686,-117.13882
MLS Listing,,Condo/Co-op,3835 Elijah Ct #532,San Diego,CA,92130,885000,2,2.0,Carmel Valley,1193,308849,2002,17,742,385,Active,,,https://www.redfin.com/CA/San-Diego/3835-Elijah-Ct-92130/unit-532/home/6684271,SDMLS,230016919,N,Y,32.9457601,-117.2338134
MLS Listing,,Single Family Residential,1125 Mona Pl,El Cajon,CA,92020,849000,4,2.0,Mount Helix,1770,6200,1967,18,480,,Active,,,https://www.redfin.com/CA/El-Cajon/1125-Mona-Pl-92020/home/5614166,SDMLS,230017021,N,Y,32.780148,-116.9745493
MLS Listing,,Single Family Residential,16825 Archie Moore Rd,Ramona,CA,92065,1950000,4,3.5,Ramona,4155,261360,2019,18,469,,Active,,,https://www.redfin.com/CA/Ramona/16825-Archie-Moore-Rd-92065/home/22232770,SDMLS,230017001,N,Y,33.0209413,-116.9537368
MLS Listing,,Single Family Residential,1453 Esperanza Way,Escondido,CA,92027,865000,3,2.0,North Escondido,1858,8100,1977,23,466,,Active,,,https://www.redfin.com/CA/Escondido/1453-Esperanza-Way-92027/home/3935935,SDMLS,230016047,N,Y,33.1496125,-117.0723518
MLS Listing,,Condo/Co-op,13816 Midland Rd,Poway,CA,92064,590000,2,2.0,Poway,871,83157,1993,23,677,575,Active,,,https://www.redfin.com/CA/Poway/13816-Midland-Rd-92064/home/4792441,SDMLS,230015542,N,Y,32.9642071,-117.0370929
MLS Listing,,Condo/Co-op,4244 5Th Ave,San Diego,CA,92103,850000,2,2.5,San Diego,1480,254831,1973,24,574,455,Active,,,https://www.redfin.com/CA/San-Diego/4244-5th-Ave-92103/home/5291040,SDMLS,230016675,N,Y,32.7546484,-117.1608049
MLS Listing,,Single Family Residential,3410 Filoli Cir,Carlsbad,CA,92009,1775000,3,3.5,Carlsbad South,2028,62462,2010,24,875,150,Active,,,https://www.redfin.com/CA/Carlsbad/3410-Filoli-Cir-92009/home/40094949,SDMLS,230016668,N,Y,33.1064047,-117.2268317
MLS Listing,,Single Family Residential,640 Lado De Loma Dr,Vista,CA,92083,825000,4,3.0,Vista,2334,8300,1940,24,353,,Active,,,https://www.redfin.com/CA/Vista/640-Lado-de-Loma-Dr-92083/home/3503522,SDMLS,230016657,N,Y,33.1915471,-117.2386986
MLS Listing,,Vacant Land,21050 Questhaven Rd,San Marcos,CA,92078,3200000,0,,San Marcos,,1711472,,25,,,Active,,,https://www.redfin.com/CA/San-Marcos/20927-Questhaven-Rd-92078/home/3865666,SDMLS,230016557,N,Y,33.093046,-117.170801
MLS Listing,,Single Family Residential,31223 Pauma Heights Rd,Valley Center,CA,92082,1695000,7,5.0,Valley Center,4216,204296,2022,25,402,,Active,,,https://www.redfin.com/CA/Valley-Center/31223-Pauma-Heights-Rd-92082/home/187043188,SDMLS,230016471,N,Y,33.2849166,-116.9920224
MLS Listing,,Single Family Residential,5291 Vickie Dr,San Diego,CA,92109,1750000,3,2.0,Pacific Beach,1638,7100,1966,31,1068,,Active,,,https://www.redfin.com/CA/San-Diego/5291-Vickie-Dr-92109/home/6416256,SDMLS,230016076,N,Y,32.8129094,-117.2457263
MLS Listing,,Single Family Residential,14260 Fox Run Row,San Diego,CA,92130,2895000,3,3.5,San Diego,3362,,1985,31,861,617,Active,,,https://www.redfin.com/CA/San-Diego/14260-Fox-Run-Row-92130/home/4448523,SDMLS,230016091,N,Y,32.97748,-117.207342
MLS Listing,,Condo/Co-op,6362 Rancho Mission Rd #708,San Diego,CA,92108,489000,2,1.0,Mission Valley,690,,1979,32,709,286,Active,,,https://www.redfin.com/CA/San-Diego/6362-Rancho-Mission-Rd-92108/unit-708/home/5229269,SDMLS,230015847,N,Y,32.788627,-117.1100996
MLS Listing,,Single Family Residential,10236 Avenida De La Cantina,San Diego,CA,92129,1075000,4,2.0,Rancho Penasquitos,1292,9400,1972,32,832,,Active,,,https://www.redfin.com/CA/San-Diego/10236-Avenida-de-la-Cantina-92129/home/4752018,SDMLS,230016053,N,Y,32.9574815,-117.106528
MLS Listing,,Single Family Residential,11430 Westonhill Dr,San Diego,CA,92126,1499000,5,3.0,Mira Mesa,2255,6400,1978,33,665,,Active,,,https://www.redfin.com/CA/San-Diego/11430-Westonhill-Dr-92126/home/4538350,SDMLS,230015948,N,Y,32.9329068,-117.1359081
MLS Listing,,Townhouse,1704 Frangipani Ave,Chula Vista,CA,91913,799000,4,3.5,Chula Vista,2189,1741,2018,38,365,141,Active,,,https://www.redfin.com/CA/Chula-Vista/1704-Frangipani-Ave-91913/home/143239553,SDMLS,230015411,N,Y,32.6123811,-116.9940798
MLS Listing,,Condo/Co-op,1811 E Grand Ave #110,Escondido,CA,92027,395000,2,1.0,East Escondido,905,,1974,38,436,500,Active,,,https://www.redfin.com/CA/Escondido/1811-E-Grand-Ave-92027/unit-110/home/3967927,SDMLS,230015635,N,Y,33.1326645,-117.0526269
MLS Listing,,Single Family Residential,2310 La Paz St,Oceanside,CA,92054,1550000,3,2.0,Oceanside,2460,9947,1970,39,630,,Active,,,https://www.redfin.com/CA/Oceanside/2310-La-Paz-St-92054/home/3383857,SDMLS,230015533,N,Y,33.1863066,-117.338028
MLS Listing,,Single Family Residential,2157 Corte Dorado Espuela,Alpine,CA,91901,1899000,5,4.5,Alpine,5216,190792,2004,45,364,390,Active,,,https://www.redfin.com/CA/Alpine/2157-Corte-Dorado-Espuela-91901/home/5727062,SDMLS,230015180,N,Y,32.8056125,-116.7645154
MLS Listing,,Single Family Residential,7473 Bagdad St,San Diego,CA,92111,1249000,4,2.0,Kearny Mesa,1696,6200,1958,46,736,,Active,,,https://www.redfin.com/CA/San-Diego/7473-Bagdad-St-92111/home/5164903,SDMLS,230015000,N,Y,32.8111608,-117.1611675
MLS Listing,,Condo/Co-op,13832 Midland Rd,Poway,CA,92064,657000,3,2.0,Poway,1216,,1993,52,540,575,Active,,,https://www.redfin.com/CA/Poway/13832-Midland-Rd-92064/home/4793296,SDMLS,230014643,N,Y,32.9644264,-117.0363302
MLS Listing,,Single Family Residential,1227 Via Rancho Pkwy,Escondido,CA,92029,1199000,4,2.0,Southeast Escondido,2275,35283,1972,54,527,,Active,,,https://www.redfin.com/CA/Escondido/1227-Via-Rancho-Pkwy-92029/home/4196087,SDMLS,230014108,N,Y,33.0767105,-117.0961047
MLS Listing,,Single Family Residential,4430 Cape May Ave,San Diego,CA,92107,2795000,6,4.5,Ocean Beach,3669,6375,1990,59,762,,Active,,,https://www.redfin.com/CA/San-Diego/4430-Cape-May-Ave-92107/home/5340516,SDMLS,230014131,N,Y,32.7434671,-117.2387515
MLS Listing,,Condo/Co-op,1514 7Th Ave #903,San Diego,CA,92101,759000,2,2.0,San Diego,1069,,1982,62,710,676,Active,,,https://www.redfin.com/CA/San-Diego/1514-7th-Ave-92101/unit-903/home/5764987,SDMLS,230013868,N,Y,32.7213913,-117.1586898
MLS Listing,,Single Family Residential,2168 San Dieguito Dr,Del Mar,CA,92014,4895000,4,3.5,Del Mar,2977,17790,2009,62,1644,,Active,,,https://www.redfin.com/CA/Del-Mar/2168-San-Dieguito-Dr-92014/home/21909836,SDMLS,230013116,N,Y,32.9681506,-117.2609751
MLS Listing,,Single Family Residential,7459 Orien Ave,La Mesa,CA,91941,950000,4,3.0,La Mesa,2184,9800,1981,63,435,,Active,,,https://www.redfin.com/CA/La-Mesa/7459-Orien-Ave-91941/home/5528245,SDMLS,230013488,N,Y,32.7524154,-117.0349854
MLS Listing,,Single Family Residential,2191 Pamplona Ct,Escondido,CA,92025,1480000,4,3.5,South Escondido,3373,21148,2000,67,439,,Active,,,https://www.redfin.com/CA/Escondido/2191-Pamplona-Ct-92025/home/6582879,SDMLS,230013139,N,Y,33.0984642,-117.0625369
MLS Listing,,Vacant Land,Portola Ave,Spring Valley,CA,91977,80000,0,,La Mesa,,12841,,68,,,Active,,,https://www.redfin.com/CA/Spring-Valley/Portola-Ave-91977/home/178273989,SDMLS,230013427,N,Y,32.719257,-116.988988
MLS Listing,,Condo/Co-op,877 Island Ave #906,San Diego,CA,92101,2299000,3,2.5,San Diego,2330,40120,2002,68,987,909,Active,,,https://www.redfin.com/CA/San-Diego/877-Island-Ave-92101/unit-906/home/6587309,SDMLS,230013366,N,Y,32.7102058,-117.1568674
MLS Listing,,Townhouse,10142 Caminito Zar,Mira Mesa,CA,92126,650000,3,1.5,92126 - Mira Mesa,1264,191793,1975,1,514,440,Active,,,https://www.redfin.com/CA/San-Diego/10142-Caminito-Zar-92126/home/4853885,CRMLS,SW23171407,N,Y,32.902259,-117.122903
MLS Listing,,Single Family Residential,1726 S Mammoth Pl,Escondido,CA,92029,824990,3,2.5,92029 - Escondido,1605,4046,1987,1,514,,Active,September-23-2023 12:00 PM,September-23-2023 04:00 PM,https://www.redfin.com/CA/Escondido/1726-S-Mammoth-Pl-92029/home/4010763,CRMLS,SW23173021,N,Y,33.0992606,-117.1106689
MLS Listing,,Townhouse,14924 Avenida Venusto #119,San Diego,CA,92128,499000,1,1.0,Rancho Bernardo,708,,1988,1,705,372,Active,,,https://www.redfin.com/CA/San-Diego/14924-Avenida-Venusto-92128/unit-119/home/6637529,SDMLS,230018115,N,Y,32.9897761,-117.0694557
MLS Listing,,Condo/Co-op,4474 Brisbane Way #2,Oceanside,CA,92058,675000,4,2.5,Oceanside,1837,43931,2003,1,367,335,Active,,,https://www.redfin.com/CA/Oceanside/4474-Brisbane-Way-92058/unit-2/home/6606570,SDMLS,230017958,N,Y,33.2421765,-117.3230453
MLS Listing,,Condo/Co-op,3845 Groton St #1,San Diego,CA,92110,499000,1,1.0,Point Loma,877,,1964,1,569,545,Active,,,https://www.redfin.com/CA/San-Diego/3845-Groton-St-92110/unit-1/home/5275455,SDMLS,230018200,N,Y,32.7528905,-117.2209675
MLS Listing,,Single Family Residential,967 Erin Dr,El Cajon,CA,92020,899900,4,3.0,El Cajon,2087,5698,1988,1,431,257,Pre On-Market,,,https://www.redfin.com/CA/El-Cajon/967-Erin-Dr-92020/home/5563485,SDMLS,230018261,N,Y,32.8081088,-117.0004873
MLS Listing,,Single Family Residential,4392 Mount Hukee Ave,San Diego,CA,92117,1170000,4,2.0,92117 - Clairemont Mesa,1239,5700,1961,1,944,,Active,,,https://www.redfin.com/CA/San-Diego/4392-Mount-Hukee-Ave-92117/home/4961657,CRMLS,PTP2304542,N,Y,32.8213398,-117.1949629
MLS Listing,,Single Family Residential,738 Brass Lantern,San Marcos,CA,92069,999000,5,3.0,San Marcos,2339,,1979,1,427,,Active,,,https://www.redfin.com/CA/San-Marcos/738-Brass-Lantern-Rd-92069/home/3813905,SDMLS,230018259,N,Y,33.1543485,-117.1472246
MLS Listing,,Single Family Residential,5002 El Acebo,Rancho Santa Fe,CA,92067,5865000,3,4.5,92067 - Rancho Santa Fe,4099,45302,1985,1,1431,117,Active,,,https://www.redfin.com/CA/Rancho-Santa-Fe/5002-El-Acebo-92067/home/4187652,CRMLS,NDP2307282,N,Y,33.0148483,-117.2267862
MLS Listing,,Townhouse,16755 Coyote Bush 89,San Diego,CA,92127,1260000,4,4.0,Rancho Bernardo,2173,,2019,1,580,280,Pre On-Market,,,https://www.redfin.com/CA/San-Diego/16755-Coyote-Bush-Dr-92127/unit-89/home/167684341,SDMLS,230018258,N,Y,33.0199937,-117.1282677
MLS Listing,,Single Family Residential,2469 E Mission Rd,Fallbrook,CA,92028,749000,3,2.0,92028 - Fallbrook,2363,23086,1955,1,317,,Active,,,https://www.redfin.com/CA/Fallbrook/2469-E-Mission-Rd-92028/home/3063627,CRMLS,NDP2307281,N,Y,33.3928181,-117.2102638
MLS Listing,,Single Family Residential,3004 Rana Ct,Carlsbad,CA,92009,1595000,4,2.5,La Costa,2200,6899,1982,1,725,96,Pre On-Market,,,https://www.redfin.com/CA/Carlsbad/3004-Rana-Ct-92009/home/3870788,SDMLS,230018257,N,Y,33.088724,-117.2432309
MLS Listing,,Single Family Residential,,San Diego,CA,92104,658000,2,2.0,North Park,595,1212,1919,1,1106,,Active,,,https://www.redfin.com/CA/San-Diego/Florida-St-92104/home/5306437,SDMLS,230016995,N,Y,32.7488813,-117.1439995
